Point_ID,Y_mm,Z_mm,Mean_m_s,Median_m_s,StdDev,Dom_Freq_Hz,Peak_PSD,Signal_Type,Selected_Velocity
00,1650.0,-629.0975,5.786506419745484,5.787363788013268,0.07394250376474215,4.8828125,1.8425642885583338e-05,Stochastic (Turbulent),5.787363788013268
01,1650.0,-567.1,5.706969803666417,5.711041975342475,0.09351539317278122,7.32421875,0.0001265188919113761,Stochastic (Turbulent),5.711041975342475
02,1650.0,-390.5,5.470490744811287,5.486831848341492,0.19080357222552172,7.32421875,0.001137275143787908,Stochastic (Turbulent),5.486831848341492
03,1650.0,-285.7,5.209286992290667,5.272065164318773,0.4471509553895985,4.8828125,0.010030499773612539,Periodic (Vortex/Blade),5.209286992290667
04,1650.0,-285.7,5.711186804362929,5.687882554757813,0.22910984700939752,12.20703125,0.003486575955558422,Stochastic (Turbulent),5.687882554757813
05,1650.0,-126.3,,,,0.0,0.0,Stochastic (Turbulent),
06,1650.0,-48.4,3.2979049990836944,3.302610808514168,0.14886186617494376,4.8828125,0.00041001464168107085,Stochastic (Turbulent),3.302610808514168
07,1650.0,-48.4,3.2827297425756896,3.286380144874017,0.2172394537975673,4.8828125,0.0016891594435224045,Stochastic (Turbulent),3.286380144874017
08,1650.0,-9.7,3.499770300482113,3.4846770070124204,0.2875057599217995,4.8828125,0.003395257027928514,Stochastic (Turbulent),3.4846770070124204
09,1650.0,-9.7,,,,0.0,0.0,Stochastic (Turbulent),
10,1650.0,100.0,3.693265044914864,3.6944127883121105,0.28645983255681723,4.8828125,0.0037401930759811573,Stochastic (Turbulent),3.6944127883121105
11,1650.0,185.4,3.818590056950398,3.840952522175953,0.29474452259576317,9.765625,0.0031702149321991406,Stochastic (Turbulent),3.840952522175953
12,1650.0,185.4,3.1061118756680774,3.108551804601965,0.13516038950597764,4.8828125,6.208243061589866e-05,Stochastic (Turbulent),3.108551804601965
13,1650.0,185.4,3.2604024823985736,3.265854886541062,0.28766033732546525,4.8828125,0.0037290077930398854,Stochastic (Turbulent),3.265854886541062
14,1650.0,337.9975,3.680787555768457,3.681506097870513,0.22176189444686673,4.8828125,0.001441048036659927,Stochastic (Turbulent),3.681506097870513
15,1650.0,380.6,,,,0.0,0.0,Stochastic (Turbulent),
16,1650.0,380.6,3.4940112798840275,3.5198061066570383,0.27857261837574854,12.20703125,0.011249088474567924,Periodic (Vortex/Blade),3.4940112798840275
17,1650.0,419.3,3.3449541742096924,3.3464243126883586,0.14037405326872987,12.20703125,0.00021203102296912064,Stochastic (Turbulent),3.3464243126883586
18,1650.0,419.3,3.442487008389928,3.4546234503158186,0.22889017173887796,4.8828125,0.002003248513441956,Stochastic (Turbulent),3.4546234503158186
19,1650.0,497.1975,3.5037087090930386,3.5056411183673832,0.14859707411039108,12.20703125,0.0008418970996014643,Stochastic (Turbulent),3.5056411183673832
20,1650.0,656.5975,5.13609240297336,5.03197100411377,0.4724613434316331,12.20703125,0.02000395291084616,Periodic (Vortex/Blade),5.13609240297336
21,1650.0,656.5975,,,,0.0,0.0,Stochastic (Turbulent),
22,1650.0,700.0,5.187848374439088,5.107728601299115,0.4747569821978681,12.20703125,0.022974536335912742,Periodic (Vortex/Blade),5.187848374439088
