x	y	z
1650.0	-707.1	0.0
1650.0	-523.9	0.0
1650.0	-471.2	195.2
1650.0	-471.2	-195.2
1650.0	-382.7	0.0
1650.0	-233.8	135.0
1650.0	-233.8	-135.0
1650.0	-195.2	-471.2
1650.0	-195.2	471.2
1650.0	-150.0	0.0
1650.0	0.0	-270.0
1650.0	0.0	0.0
1650.0	0.0	270.0
1650.0	150.0	0.0
1650.0	195.2	471.2
1650.0	195.2	-471.2
1650.0	233.8	-135.0
1650.0	233.8	135.0
1650.0	382.7	0.0
1650.0	471.2	195.2
1650.0	471.2	-195.2
1650.0	523.9	0.0
1650.0	707.1	0.0
